"","dia","tipo","numero","well","replica","factor1","factor2","factor3"
"1",2,"CLP","12","1","1","CLP_D2","CLP_D2_12","CLP_D2_12_1"
"2",2,"CLP","12","2","1","CLP_D2","CLP_D2_12","CLP_D2_12_2"
"3",2,"CLP","13","1","1","CLP_D2","CLP_D2_13","CLP_D2_13_1"
"4",2,"CLP","13","2","1","CLP_D2","CLP_D2_13","CLP_D2_13_2"
"5",2,"CLP","1","1","1","CLP_D2","CLP_D2_1","CLP_D2_1_1"
"6",2,"CLP","1","2","1","CLP_D2","CLP_D2_1","CLP_D2_1_2"
"7",2,"CLP","1","3","1","CLP_D2","CLP_D2_1","CLP_D2_1_3"
"8",2,"CLP","2","1","1","CLP_D2","CLP_D2_2","CLP_D2_2_1"
"9",2,"CLP","2","2","1","CLP_D2","CLP_D2_2","CLP_D2_2_2"
"10",2,"CLP","2","3","1","CLP_D2","CLP_D2_2","CLP_D2_2_3"
"11",2,"CLP","3","1","1","CLP_D2","CLP_D2_3","CLP_D2_3_1"
"12",2,"CLP","3","2","1","CLP_D2","CLP_D2_3","CLP_D2_3_2"
"13",2,"CLP","3","3","3","CLP_D2","CLP_D2_3","CLP_D2_3_3"
"14",2,"CLP","4","1","1","CLP_D2","CLP_D2_4","CLP_D2_4_1"
"15",2,"CLP","4","2","1","CLP_D2","CLP_D2_4","CLP_D2_4_2"
"16",2,"CLP","4","3","1","CLP_D2","CLP_D2_4","CLP_D2_4_3"
"17",2,"CLP","5","1","1","CLP_D2","CLP_D2_5","CLP_D2_5_1"
"18",2,"CLP","5","2","1","CLP_D2","CLP_D2_5","CLP_D2_5_2"
"19",2,"CLP","5","3","1","CLP_D2","CLP_D2_5","CLP_D2_5_3"
"20",2,"CLP","6","1","1","CLP_D2","CLP_D2_6","CLP_D2_6_1"
"21",2,"CLP","6","2","1","CLP_D2","CLP_D2_6","CLP_D2_6_2"
"22",2,"CLP","6","3","1","CLP_D2","CLP_D2_6","CLP_D2_6_3"
"23",4,"CLP","14","1","1","CLP_D4","CLP_D4_14","CLP_D4_14_1"
"24",4,"CLP","14","2","1","CLP_D4","CLP_D4_14","CLP_D4_14_2"
"25",4,"CLP","15","1","1","CLP_D4","CLP_D4_15","CLP_D4_15_1"
"26",4,"CLP","15","2","1","CLP_D4","CLP_D4_15","CLP_D4_15_2"
"27",4,"CLP","16","1","1","CLP_D4","CLP_D4_16","CLP_D4_16_1"
"28",4,"CLP","16","2","1","CLP_D4","CLP_D4_16","CLP_D4_16_2"
"29",4,"CLP","17","1","1","CLP_D4","CLP_D4_17","CLP_D4_17_1"
"30",4,"CLP","17","2","1","CLP_D4","CLP_D4_17","CLP_D4_17_2"
"31",4,"CLP","18","1","1","CLP_D4","CLP_D4_18","CLP_D4_18_1"
"32",4,"CLP","18","2","1","CLP_D4","CLP_D4_18","CLP_D4_18_2"
"33",4,"CLP","19","1","1","CLP_D4","CLP_D4_19","CLP_D4_19_1"
"34",4,"CLP","19","2","1","CLP_D4","CLP_D4_19","CLP_D4_19_2"
"35",4,"CLP","20","1","1","CLP_D4","CLP_D4_20","CLP_D4_20_1"
"36",4,"CLP","20","2","1","CLP_D4","CLP_D4_20","CLP_D4_20_2"
"37",4,"CLP","21","1","1","CLP_D4","CLP_D4_21","CLP_D4_21_1"
"38",4,"CLP","21","2","1","CLP_D4","CLP_D4_21","CLP_D4_21_2"
"39",4,"CLP","22","1","1","CLP_D4","CLP_D4_22","CLP_D4_22_1"
"40",4,"CLP","22","2","1","CLP_D4","CLP_D4_22","CLP_D4_22_2"
"41",4,"CLP","23","1","1","CLP_D4","CLP_D4_23","CLP_D4_23_1"
"42",4,"CLP","23","2","1","CLP_D4","CLP_D4_23","CLP_D4_23_2"
"43",4,"CLP","12","1","1","CLP_D4","CLP_D4_12","CLP_D4_12_1"
"44",4,"CLP","12","2","1","CLP_D4","CLP_D4_12","CLP_D4_12_2"
